"NA_L2NAME","category","n()"
"BOREAL PLAIN","BothPresent",10
"BOREAL PLAIN","NoAmbrosia",45
"BOREAL PLAIN","NoArtemisia",1
"CENTRAL USA PLAINS","BothPresent",11
"CENTRAL USA PLAINS","NoArtemisia",4
"MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","NoArtemisia",10
"MIXED WOOD PLAINS","BothPresent",50
"MIXED WOOD PLAINS","NoArtemisia",42
"MIXED WOOD SHIELD","BothPresent",20
"MIXED WOOD SHIELD","NoAmbrosia",4
"MIXED WOOD SHIELD","NoArtemisia",2
"OZARK/OUACHITA-APPALACHIAN FORESTS","BothPresent",5
"OZARK/OUACHITA-APPALACHIAN FORESTS","NoArtemisia",6
"SOFTWOOD SHIELD","NoAmbrosia",8
"SOUTH CENTRAL SEMIARID PRAIRIES","BothPresent",55
"SOUTH CENTRAL SEMIARID PRAIRIES","NoArtemisia",2
"SOUTHEASTERN USA PLAINS","BothPresent",4
"SOUTHEASTERN USA PLAINS","NoArtemisia",9
"TEMPERATE PRAIRIES","BothPresent",64
"TEMPERATE PRAIRIES","NoAmbrosia",18
"TEMPERATE PRAIRIES","NoArtemisia",3
"TEXAS-LOUISIANA COASTAL PLAIN","NoArtemisia",2
"WEST-CENTRAL SEMIARID PRAIRIES","BothPresent",104
"WEST-CENTRAL SEMIARID PRAIRIES","NoAmbrosia",26
"WEST-CENTRAL SEMIARID PRAIRIES","NoArtemisia",2
