site.name,depth,age,age.old,age.young,date.type,calendar.ybp,lat,long,dataset,AMBROSIA,APIACEAE,ARTEMISIA,ASTERCICHO,ASTERX,CHENOAMX,CUPRESSA,CYPERACE,ERIOGONUM,FABACEAE,LAMIACEAE,Other,PINUSX,POACEAE,POLYPOD,QUERCUS,SELAGINE,ABIES,ACNEGUNA,ACSACRUM,ALNUSX,ARCEUTHOBI,BETULA,BRASSICACEAE,CARYA,CASTANEA,CORYLUS,EPHEDRA,FRAXNIGR,FRAXPNAM,IVA,JUGLANSX,JUGNIGRA,LARIXPSEU,MYRICACX,OSTRYCAR,PICEAX,PLANTAGINX,PLATANUS,POLYGONAX,POPULUS,ROSACEAX,RUMEX,SALIX,SARCOBATUS,THALICTRUM,TILIA,TSUGAX,ULMUS,URTICACX,XANTHIUM,ACERX,ALRUGOSA,CARYOPHYLL,ERICACEX,EUPHORB,FAGUS,FRAXINUX,NYSSA,RUBIACEAE,SANGUI,SHEPHERDIA,LILIACEAE,ONAGRACEAE,POLYGONMX,RANUNCUL,BORAGINACEAE,CORNUS,TAXUS,CACTACEAE,CAMPANULACEA,RHAMNACEAE,CAPRIFOLIA,POLEMONI,SCROPHUL,CHRYSOLEP,TSUGMERT,ACRUBRUM,MALVACEAE,PEDICULARI,RUBUS,ALNUS,LIQUIDAM,ACSACNUM,RUMEOXYR,ERIVACCI,ELAEAGNX,PROSOPIS,DRYAS,DODECATH,TSUGHETE,POLYGVIV,POLYGBIS,ERICALES,TAXODIUM,AQUIFOLI,ACPENSYL,ARMERIA,PICMARIA,ALRUBRA,pollensum,ambrosia.proportion,artemisia.proportion,ambtoart,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
"Brown's Bay, Lake Minnetonka",97.5,298,NA,NA,Calendar years BP,298,44.95769,-93.545105,314,16,0,12,0,16,4,1,9,0,0,0,56,67,9,1,182,0,0,0,5,0,0,10,1,2,0,7,0,0,0,0,0,1,1,0,25,1,0,1,0,2,0,0,1,1,2,6,0,14,0,0,1,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0.034408602,0.025806452,1.333333333,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
"Brown's Bay, Lake Minnetonka",101.5,320,NA,NA,Calendar years BP,320,44.95769,-93.545105,314,14,0,10,0,6,4,0,9,0,0,0,49,45,15,2,164,0,0,0,2,0,0,13,0,4,0,1,0,0,0,1,1,0,1,0,28,0,0,0,0,1,0,0,0,0,0,5,0,8,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0.03562341,0.025445293,1.4,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Farquar Lake,140,251,1143,73,Calendar years BP,251,44.75815,-93.16449,822,40,0,23,0,11,5,3,20,0,0,0,7,96,23,1,175,0,1,1,3,11,0,30,0,1,0,2,0,5,3,0,0,0,0,0,11,2,0,2,0,0,0,0,4,0,0,1,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0.08097166,0.046558704,1.739130435,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Farquar Lake,160,280,1374,76,Calendar years BP,280,44.75815,-93.16449,822,25,0,14,0,7,2,5,19,0,0,0,18,75,40,0,254,0,0,0,1,14,0,23,0,3,0,6,0,6,4,0,3,3,0,0,6,2,0,1,0,0,0,0,3,1,0,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0.045207957,0.025316456,1.785714286,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Blomford Lake,30,282,NA,NA,Calendar years BP,282,45.4935,-93.1545,10973,20,0,14,0,13,3,1,32.5,0,0,0,52,84.5,41,3,153,0,1,0,0,0,0,33,0,0,0,6,0,3,0,0,1,0,1.5,0,13,2.5,0,2,0,2,0,0,4,0,2,4.5,1,4,3,1,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.5,0.036866359,0.025806452,1.428571429,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Blomford Lake,40,386,NA,NA,Calendar years BP,386,45.4935,-93.1545,10973,5,0,13,0,9,2,0,30,0,0,0,5,110,23,0,106,0,0,0,3,0,0,36,0,0,0,1,0,5,0,0,1,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0.012722646,0.03307888,0.384615385,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Blomford Lake,50,490,NA,NA,Calendar years BP,490,45.4935,-93.1545,10973,6,1,10,0,22,2,6,28.5,0,1,0,79,81.5,35,1,107,0,0,0,1,1,0,19,0,1,0,6,0,3,1,0,0,0,1,0,5,1,0,0,0,3,0,0,3,0,0,0,0,4,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0.013015184,0.021691974,0.6,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Fawn Lake,100,403,NA,NA,Calendar years BP,403,45.4072,-93.0532,10974,22,1,21,0,8.5,4,13,32,0,1,0,12.5,131.5,39,0,203,0,0.5,0,2,1,0,46,0,1,0,6,0,7,0,0,1,0,1,0,10,2.5,0,0,0,11,1,0,2,0,2,0,1.5,7,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0.036184211,0.034539474,1.047619048,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Frovold Lake,60,282,NA,NA,Calendar years BP,282,45.377,-95.5625,10975,11,1,20,0,12,4,3,35.5,0,2,0,11,23,63,0,14,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,2,2.5,0,1,0,3,1,1,3,0,1,2,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0.046610169,0.084745763,0.55,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
Frovold Lake,70,334,NA,NA,Calendar years BP,334,45.377,-95.5625,10975,81,1,23.5,0,22,2,1,36,0,2.5,0,17,26.5,79,0,22,0,0,0,0,0,0,17,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.5,0.231098431,0.067047076,3.446808511,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS,3190053.609,1.30088E+11
