"id","pub.type","year","citation","ContactID","Order","ContactName","contact.id","order","contact.name"
437,"Legacy",1984,"Murchie, S.L. 1984. 210Pb dating and recent geologic history of two bays of Lake Minnetonka, Minnesota. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
256,"Legacy",1968,"McAndrews, J.H. 1968. Pollen evidence for the protohistoric development of the ""Big Woods"" in Minnesota (U.S.A.). Review of Palaeobotany and Palynology 7:201-211.",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7293,"Journal Article",2003,"Camill, P., C.E. Umbanhowar, Jr., R. Teed, C.E. Geiss, J. Aldinger, L. Dvorak, J. Kenning, J. Limmer, and K. Walkup. 2003. Late-glacial and Holocene climatic effects on fire and vegetation dynamics at the prairie-forest ecotone in south- central Minnesota. Journal of Ecology 91(5):822-836. 10.1046/j.1365-2745.2003.00812.x.",NA,NA,NA,NA,NA,NA
7275,"Journal Article",2011,"Lynch, E.A., S.C. Hotchkiss, and R. Calcote. 2011. Charcoal signatures defined by multivariate analysis of charcoal records from 10 lakes in northwest Wisconsin (USA). Quaternary Research 75(1):125-137. [DOI: 10.1016/j.yqres.2010.08.007]",NA,NA,NA,NA,NA,NA
7389,"Journal Article",2004,"Umbanhowar, C.E., Jr. 2004. Interaction of fire, climate and vegetation change at a large landscape scale in the Big Woods of Minnesota, USA. The Holocene 14(5):661-676. [DOI: 10.1191/0959683604hl745rp]",NA,NA,NA,NA,NA,NA
7280,"Journal Article",2007,"Hotchkiss, S.C., R. Calcote, and E.A. Lynch. 2007. Response of vegetation and fire to Little Ice Age climate change: regional continuity and landscape heterogeneity. Landscape Ecology 22:25-41. [DOI: 10.1007/s10980-007-9133-3]",NA,NA,NA,NA,NA,NA
7571,"Journal Article",2008,"St. Jacques, J.-M., B.F. Cumming, and J.P. Smol. 2008. A 900-year pollen-inferred temperature and effective moisture record from varved Lake Mina, west-central Minnesota, USA. Quaternary Science Reviews 27(7-8):781-796. [DOI: 10.1016/j.quascirev.2008.01.005]",NA,NA,NA,NA,NA,NA
7663,"Authored Report",2001,"Brooks, G.R., and A. Grenier. 2001. Late Holocene pollen stratigraphy of Lake Louise, Manitoba. Current Research 2001-B1, Geological Survey of Canada, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA
7705,"Journal Article",1989,"Jacobson, H.A., and D.R. Engstrom. 1989. Resolving the chronology of recent lake sediments: an example from Devils Lake, North Dakota. Journal of Paleolimnology 2(2):81-97. [DOI: 10.1007/BF00177042]",NA,NA,NA,NA,NA,NA
