"uniqueid","site.name","depth","age","date.type","lat","long","dataset","ACRUBRUM","ACSACRUM","AMBROSIA","APIACEAE","ARTEMISIA","ASTERX","BETULA","CARYA","CHENOAMX","CUPRESSA","CYPERACE","FAGUS","FRAXINUX","FRAXNIGR","IVA","JUGLANSX","LAMIACEAE","LIQUIDAM","NYSSA","ONAGRACEAE","OSTRYCAR","Other","PINUSX","PLANTAGINX","PLATANUS","POACEAE","POLYGONMX","POLYPOD","QUERCUS","RUBIACEAE","RUBUS","SALIX","ULMUS","ABIES","ALNUSX","FRAXPNAM","PICEAX","BRASSICACEAE","POPULUS","TSUGAX","ASTERCICHO","ACERX","CORYLUS","RANUNCUL","ROSACEAX","THALICTRUM","TILIA","RUMEX","ALRUGOSA","POLYGONAX","JUGNIGRA","MYRICACX","URTICACX","RHAMNACEAE","FABACEAE","ERICACEX","LARIXPSEU","SARCOBATUS","EPHEDRA","CARYOPHYLL","SELAGINE","ACNEGUNA","XANTHIUM","CORNUS","LILIACEAE","ACSACNUM","EUPHORB","MALVACEAE","BORAGINACEAE","CASTANEA","ELAEAGNX","RUMEOXYR","CAPRIFOLIA","SHEPHERDIA","ERIVACCI","AQUIFOLI","ARCEUTHOBI","SCROPHUL","MAGNOLIACE","CAMPANULACEA","TAXODIUM","CACTACEAE","POLEMONI","ACPENSYL","SANGUI","PROSOPIS","PEDICULARI","pollensum","ambrosia.proportion","artemisia.proportion","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NA_L2KEY","NA_L1KEY","Shape_Leng","Shape_Area","category","MeanT","Mean.Diurnal.RangeT","Isothermality","TSeasonality","MaxTWarm","MinTCold","TAnnRange","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnP","PrecipWetMonth","PrecipDryMonth","PrecipSeasonality","PrecipWetQ","PrecipDryQ","PrecipWarmQ","PrecipColdQ","long.1","lat.1"
1,"JHMN37 (McAndrews and Wright 1969)",0,NA,NA,47.8,-103.166667,1320,0,0,11,0,108,6,12,0,46,3,0,0,0,0,0,0,0,0,0,0,0,44,78,0,0,53,0,0,6,0,0,0,4,0,8,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0.0287206266318538,0.281984334203655,"9.3","WEST-CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS","9.3  WEST-CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",9619206.40931,817886943524,"BothPresent",57.4355621337891,143.335205078125,29.8092002868652,11476.779296875,298.345123291016,-178.180877685547,476.526000976562,174.961563110352,-96.755241394043,200.961563110352,-96.755241394043,387.321624755859,77.283203125,9,66.283203125,190.182846069336,30.1907997131348,171.757202148438,30.1907997131348,-103.166667,47.8
2,"JHMS32 (McAndrews and Wright 1969)",0,NA,NA,44.9,-98.75,1353,0,0,47,0,9,5,1,0,219,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,185,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0.0932539682539683,0.0178571428571429,"9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS","9.2  TEMPERATE PRAIRIES","9  GREAT PLAINS",12510738.5159,751237921717,"BothPresent",66.924674987793,139.134796142578,29,11698.0166015625,305,-172.693603515625,477.693603515625,186.865203857422,-90.6182708740234,212,-90.6182708740234,484.753082275391,82.6182708740234,9.516526222229,59,218.236541748047,33.5165252685547,203.236541748047,33.5165252685547,-98.75,44.9
3,"Lloyds Lake [W. Lake]",0,NA,NA,49.5077,-99.67675,2537,0,0,0,0,240,60,46,0,32,0,85,0,0,0,0,2,0,0,0,0,0,6,168,2,0,154,0,0,156,0,0,36,4,0,40,0,38,0,2,0,0,2,6,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,1e-05,0.220385674931129,"9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS","9.2  TEMPERATE PRAIRIES","9  GREAT PLAINS",12510738.5159,751237921717,"NoAmbrosia",24.2227993011475,128,25,12809.4228515625,266.024993896484,-237.222793579102,503.247772216797,178.802185058594,-120.777198791504,178.802185058594,-150,452.554412841797,74,14,59,211.777206420898,47,211.777206420898,48,-99.67675,49.5077
4,"Farm Pond",0,NA,NA,43.1,-90,2736,0,0,96,0,1,5,15,11,2,0,6,0,1,0,0,2,0,0,0,0,4,6,10,0,0,56,0,0,128,0,0,1,20,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0.258064516129032,0.00268817204301075,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",3190053.60936,130088054380,"BothPresent",75.2352600097656,118.854629516602,27,10672.1982421875,282.335662841797,-145.591934204102,427.927612304688,205.235260009766,-71.5189743041992,205.235260009766,-71.5189743041992,823.948120117188,101.518974304199,26.8995990753174,40.0729713439941,301.401641845703,95.0449676513672,301.401641845703,95.0449676513672,-90,43.1
5,"Gibbs",0,NA,NA,42.782778,-89.180278,2746,0,0,100,0,0,0,4,1,7,0,2,0,2,0,0,1,0,0,0,0,2,0,3,0,0,8,0,0,61,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.5,1e-05,"8.2","CENTRAL USA PLAINS","8","EASTERN TEMPERATE FORESTS","8.2  CENTRAL USA PLAINS","8  EASTERN TEMPERATE FORESTS",6558125.21217,225913769038,"NoArtemisia",78.0697479248047,117,27,10521.5849609375,283.975738525391,-134.954498291016,418.930236816406,207.069747924805,-65.9302520751953,207.069747924805,-65.9302520751953,844.463500976562,100.930252075195,28,37,301.696746826172,102,301.696746826172,102,-89.180278,42.782778
6,"Rose 4 (Watts and Wright 1966)",0,NA,NA,42.75,-103.83,2941,0,0,3,0,89,2,0,0,104,1,27,0,0,0,0,0,0,0,0,0,0,6,39,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0.00983606557377049,0.291803278688525,"9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS","9.4  SOUTH CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",8068725.65061,989587175818,"BothPresent",70.9199676513672,160.970184326172,37,9359.2119140625,301.796966552734,-130.201995849609,431.998962402344,166.567565917969,-46,195.05615234375,-46,409.910278320312,78.1660003662109,9,64.0429840087891,201.800430297852,32.3524017333984,158.009658813477,32.3524017333984,-103.83,42.75
7,"Stations 77-81 (Lichti-Federovich and Ritchie 1968)",0,NA,NA,53.75,-102.67,3763,0,0,0,0,6,10,54,0,11,1,234,0,0,0,0,0,1,0,0,0,0,27,251,1,0,139,0,0,1,0,0,47,0,1,42,0,180,0,1,0,0,0,1,1,2,1,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,1e-05,0.00588812561334642,"5.4","BOREAL PLAIN","5","NORTHERN FORESTS","5.4  BOREAL PLAIN","5  NORTHERN FORESTS",7681115.445,688274409977,"NoAmbrosia",1.35920786857605,113.695602416992,22,13653.2880859375,243,-269,512,165,-162.64079284668,165,-185.64079284668,445,74,15,52,201,55,201,55,-102.67,53.75
9,"Unnamed Playa",65,-54,1,39.74158,-103.28101,14247,0,0,15,0,20,18,0,0,384,2,2,0,0,0,0,0,0,0,0,0,0,12,23,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0.0298210735586481,0.0397614314115308,"9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS","9.4  SOUTH CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",8068725.65061,989587175818,"BothPresent",91.4904098510742,163.964401245117,38,8984.0517578125,313.471588134766,-108.528396606445,422,183.471603393555,-20.5284004211426,210.471603393555,-20.5284004211426,394.471588134766,71.4904098510742,8,69.4904098510742,200.507202148438,24,180.016784667969,24,-103.28101,39.74158
10,"Banker Pond",NA,-59,1,38.399265,-96.46875,14394,0,0,89,0,7,35,1,6,59,52,21,0,8,0,10,0,0,0,0,0,1,17,27,0,1,50,0,0,91,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,1,34,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0.161818181818182,0.0127272727272727,"9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS","9.4  SOUTH CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",8068725.65061,989587175818,"BothPresent",127.98397064209,129.990005493164,31,9719.66796875,329.980010986328,-82.0100021362305,411.989990234375,225.983978271484,-3.4232280254364,248.990005493164,-3.4232280254364,867.626892089844,135.996032714844,21,48.0060272216797,341.002044677734,74,316.201629638672,74,-96.46875,38.399265
12,"Spring Lake",NA,-35,1,47.945785,-98.81996,14411,0,0,29,0,57,6,0,0,57,3,59,0,8,0,0,0,1,0,0,0,0,162,53,0,0,56,0,0,55,0,0,4,12,0,2,3,3.5,6,3,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.5,0.0478943022295623,0.0941370767960363,"9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS","9.2  TEMPERATE PRAIRIES","9  GREAT PLAINS",12510738.5159,751237921717,"BothPresent",37.535099029541,126.449546813965,25.4495487213135,12576.4951171875,275.642761230469,-209.914443969727,485.557189941406,190.449554443359,-134.914443969727,190.449554443359,-134.914443969727,447.1640625,85,11,62,210,38,210,38,-98.81996,47.945785
